fp,county,state,never,rarely,sometimes,frequently,always
55005,Barron,WI,0.138,0.163,0.07,0.259,0.37
13007,Barrow,GA,0.027,0.048,0.054,0.127,0.743
26007,Barry,MI,0.025,0.04,0.144,0.18,0.612
29001,Barry,MO,0.067,0.098,0.187,0.253,0.395
17201,Bartholomew,IN,0.031,0.03,0.089,0.193,0.657
20001,Barton,KS,0.153,0.212,0.126,0.167,0.341
29003,Barton,MO,0.133,0.197,0.164,0.234,0.272
13009,Bartow,GA,0.02,0.089,0.107,0.29,0.494
48015,Bastrop,TX,0.006,0.024,0.054,0.224,0.692
29005,Bates,MO,0.09,0.144,0.097,0.287,0.382
21003,Bath,KY,0.101,0.072,0.097,0.211,0.519
51011,Bath,VA,0.063,0.018,0.105,0.204,0.61
5001,Baxter,AR,0.019,0.073,0.134,0.216,0.557
11001,Bay,FL,0.012,0.013,0.069,0.164,0.743
26009,Bay,MI,0.027,0.042,0.088,0.218,0.625
55007,Bayfield,WI,0.067,0.039,0.107,0.392,0.395
48017,Baylor,TX,0.018,0.106,0.06,0.217,0.598
45089,Beadle,SD,0.034,0.057,0.12,0.158,0.631
15009,Bear Lake,ID,0.034,0.016,0.025,0.122,0.803
37007,Beaufort,NC,0.053,0.062,0.08,0.163,0.641
45007,Beaufort,SC,0.069,0.065,0.138,0.26,0.468
22003,Beauregard,LA,0.196,0.07,0.118,0.2,0.416
40001,Beaver,OK,0.105,0.068,0.258,0.213,0.356
42001,Beaver,PA,0.039,0.034,0.083,0.238,0.606
48503,Beaver,UT,0.062,0.063,0.086,0.144,0.645
29225,Beaverhead,MT,0.297,0.09,0.162,0.137,0.313
26163,Becker,MN,0.046,0.032,0.075,0.156,0.69
40003,Beckham,OK,0.203,0.096,0.188,0.25,0.262
42003,Bedford,PA,0.017,0.022,0.035,0.165,0.761
46135,Bedford,TN,0.109,0.205,0.167,0.26,0.259
51013,Bedford,VA,0.01,0.018,0.035,0.187,0.75
48019,Bee,TX,0.073,0.018,0.07,0.09,0.749
32031,Belknap,NH,0.024,0.025,0.06,0.215,0.676
21005,Bell,KY,0.062,0.01,0.044,0.483,0.401
48021,Bell,TX,0.007,0.02,0.084,0.161,0.729
39007,Belmont,OH,0.144,0.008,0.099,0.257,0.492
26165,Beltrami,MN,0.036,0.056,0.077,0.171,0.659
13011,Ben Hill,GA,0.136,0.103,0.125,0.238,0.399
16001,Benewah,ID,0.118,0.078,0.084,0.194,0.526
45091,Bennett,SD,0.057,0.074,0.062,0.204,0.602
49055,Bennington,VT,0.068,0.129,0.114,0.269,0.42
37199,Benson,ND,0.028,0.019,0.063,0.224,0.665
8007,Bent,CO,0.041,0.041,0.155,0.276,0.488
5003,Benton,AR,0.023,0.103,0.163,0.117,0.595
19003,Benton,IA,0.148,0.11,0.15,0.311,0.281
17203,Benton,IN,0.062,0.067,0.112,0.242,0.517
27001,Benton,MN,0.187,0.115,0.075,0.247,0.375
29007,Benton,MO,0.11,0.078,0.203,0.281,0.327
28001,Benton,MS,0.113,0.112,0.131,0.084,0.56
40151,Benton,OR,0.165,0.116,0.166,0.281,0.272
46137,Benton,TN,0.105,0.053,0.172,0.235,0.434
53005,Benton,WA,0.084,0.011,0.064,0.08,0.761
26011,Benzie,MI,0.052,0.136,0.076,0.252,0.484
